Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Acceptable
487,0,3.058599496,20.12189272,3.522568083,0,19.10434878,42.30008633,11.89250459,0,0,0,0,1160.58,755.52,405.06,0.87717417,0.007900709,0.885074879,0.114925121,0
488,0,4.078132662,17.24733662,3.019344071,0,16.3751561,48.57216267,10.70786788,0,0,0,0,1134.45,906.63,227.82,0.898932059,0,0.898932059,0.101067941,0
489,0,5.097665827,14.37278051,2.516120059,0,13.64596342,54.84423902,9.523231166,0,0,0,0,1093.78,916.13,177.65,0.911922761,0,0.911922761,0.088077239,0
490,0,6.117198992,11.49822441,2.012896047,0,10.91677073,61.11631536,8.338594457,0,0,0,0,1224.29,911.08,313.21,0.955060801,0,0.955060801,0.044939199,1
491,0,7.136732158,8.623668309,1.509672036,0,8.18757805,67.3883917,7.153957747,0,0,0,0,1357.68,907.56,450.12,0.975536374,0,0.975536374,0.024463626,1
492,0,8.156265323,5.749112206,1.006448024,0,5.458385367,73.66046804,5.969321038,0,0,0,0,1480.2,918.22,561.98,0.988642519,0,0.988642519,0.011357481,1
493,0,9.175798489,2.874556103,0.503224012,0,2.729192683,79.93254439,4.784684328,0,0,0,0,1588.79,1063.38,525.41,0.990076174,0,0.990076174,0.009923826,1
494,0,0,10,0.1,41,43.9,5,0,0,0,0,0,989.31,864.21,125.1,0,0.990013066,0.990013066,0.009986934,1
495,0,0,9,0.09,36.9,39.51,11,0,0,0.5,1,2,888.48,853.16,35.32,0.137085698,0.852264845,0.989350542,0.010649458,1
496,0,0,8,0.08,32.8,35.12,17,0,0,1,2,4,1229.43,805.1,424.33,0.287556901,0.705529273,0.993086174,0.006913826,1
497,0,0,7,0.07,28.7,30.73,23,0,0,1.5,3,6,1377.13,801.5,575.63,0.526094731,0.395672008,0.921766739,0.078233261,0
498,0,0,6,0.06,24.6,26.34,29,0,0,2,4,8,1417.77,799.3,618.47,0.639639452,0.129699512,0.769338964,0.230661036,0
499,0,0,5,0.05,20.5,21.95,35,0,0,2.5,5,10,1409.51,798.67,610.84,0.705793376,0,0.705793376,0.294206624,0
500,0,0,4,0.04,16.4,17.56,41,0,0,3,6,12,1554.93,749.68,805.25,0.228135096,0,0.228135096,0.771864904,0
501,0,0,3,0.03,12.3,13.17,47,0,0,3.5,7,14,1671.15,736.96,934.19,0.33382531,0,0.33382531,0.66617469,0
502,0,0,2,0.02,8.2,8.78,53,0,0,4,8,16,1762.86,779.38,983.48,0.551361347,0,0.551361347,0.448638653,0
